preset,x_h,phi_h,temperature_L,sound_speed_squared
cosh-calibration,0.27403588826630293,0.26145151794836585,2.9040067836517647,0.33234904412322497
cosh-calibration,0.27634768954772354,0.26364879411609171,2.8627048576350327,0.33233257123212595
cosh-calibration,0.27867899347603686,0.26586439498996289,2.821991120290503,0.33231582612706512
cosh-calibration,0.28102996457802931,0.26809846982288488,2.7818571966974401,0.33229880442926646
cosh-calibration,0.2834007687684561,0.27035116899367362,2.7422948311792434,0.33228150168880671
cosh-calibration,0.28579157336175021,0.27262264401313319,2.7032958856057405,0.33226391339094019
cosh-calibration,0.28820254708383025,0.27491304753036305,2.6648523377185596,0.33224603495184329
cosh-calibration,0.29063386008400788,0.27722253333876523,2.6269562794822137,0.33222786171856405
cosh-calibration,0.29308568394699586,0.27955125638235745,2.5895999154566307,0.332209388969195
cosh-calibration,0.29555819170501724,0.2818993727617663,2.5527755611946166,0.33219061190845367
cosh-calibration,0.29805155785001658,0.28426703974036854,2.5164756416611835,0.33217152567216812
cosh-calibration,0.30056595834597455,0.28665441575025197,2.4806926896751285,0.33215212532045896
cosh-calibration,0.3031015706413262,0.28906166039820225,2.4454193443743435,0.33213240584180587
cosh-calibration,0.3056585736814838,0.29148893447178192,2.4106483497003817,0.33211236214854489
cosh-calibration,0.30823714792146573,0.29393639994501713,2.3763725529079065,0.33209198907709153
cosh-calibration,0.31083747533863165,0.29640421998444455,2.3425849030918617,0.33207128138927644
cosh-calibration,0.31345973944552513,0.29889255895489886,2.3092784497385948,0.33205023376810944
cosh-calibration,0.31610412530282472,0.30140158242512499,2.2764463412953551,0.33202884081758371
cosh-calibration,0.31877081953240416,0.30393145717367609,2.2440818237622011,0.33200709706283599
cosh-calibration,0.32146001033050275,0.30648235119447692,2.2121782393017355,0.33198499695014411
cosh-calibration,0.32417188748100711,0.30905443370238345,2.1807290248706415,0.33196253484112287
cosh-calibration,0.32690664236884448,0.31164787513875636,2.1497277108696489,0.33193970501780945
cosh-calibration,0.32966446799348964,0.31426284717686875,2.1191679198126048,0.33191650167841014
cosh-calibration,0.33244555898258515,0.31689952272740235,2.0890433650152338,0.33189291893545197
cosh-calibration,0.33525011160567691,0.31955807594367885,2.0593478493019934,0.33186895081792228
cosh-calibration,0.33807832378806546,0.32223868222687652,2.0300752637313386,0.33184459126886334
cosh-calibration,0.34093039512477397,0.32494151823134965,2.0012195863393996,0.33181983414214061
cosh-calibration,0.34380652689463465,0.32766676186952398,1.9727748809016734,0.33179467320481609
cosh-calibration,0.346706922074493,0.33041459231712755,1.9447352957116413,0.33176910213470456
cosh-calibration,0.34963178535353301,0.33318519001785457,1.9170950623777172,0.33174311451829802
cosh-calibration,0.35258132314772223,0.33597873668828898,1.8898484946365792,0.33171670385265717
cosh-calibration,0.35555574361437947,0.33879541532271312,1.862989987183655,0.33168986354273966
cosh-calibration,0.35855525666686477,0.34163541019773719,1.836514014520277,0.3316625868994626
cosh-calibration,0.3615800739893939,0.34449890687668072,1.8104151298173912,0.3316348671382453
cosh-calibration,0.36463040905197713,0.34738609221411926,1.784687963795373,0.3316066973808906
cosh-calibration,0.36770647712548482,0.35029715436002196,1.7593272236194015,0.33157807065620576
cosh-calibration,0.37080849529683935,0.35323228276423368,1.7343276918107176,0.33154897989144788
cosh-calibration,0.37393668248433592,0.35619166818025999,1.70968422517438,0.33151941791498246
cosh-calibration,0.37709125945309191,0.3591755026695006,1.685391753740733,0.33148937746161189
cosh-calibration,0.38027244883062711,0.36218397960481535,1.6614452797225598,0.33145885116191448
cosh-calibration,0.38348047512257499,0.36521729367426459,1.6378398764879034,0.33142783154701461
cosh-calibration,0.38671556472852697,0.36827564088495024,1.6145706875458532,0.33139631104622508
cosh-calibration,0.38997794595801011,0.37135921856590354,1.591632925548617,0.33136428198419804
cosh-calibration,0.39326784904659901,0.37446822537190222,1.5690218713062469,0.33133173658480014
cosh-calibration,0.39658550617216481,0.37760286128632148,1.5467328728162413,0.33129866696502763
cosh-calibration,0.39993115147126046,0.38076332762397758,1.5247613443068504,0.33126506513629306
cosh-calibration,0.40330502105564431,0.38394982703414693,1.5031027652937987,0.33123092300632018
cosh-calibration,0.40670735302894323,0.3871625635032136,1.4817526796502707,0.33119623237109092
cosh-calibration,0.41013838750345633,0.39040174235710645,1.4607066946912266,0.33116098491837664
cosh-calibration,0.41359836661710031,0.3936675702633296,1.4399604802691115,0.33112517223129961
cosh-calibration,0.41708753455049785,0.39696025523344947,1.4195097678834925,0.33108878577958162
cosh-calibration,0.42060613754421011,0.40028000662494967,1.3993503498033204,0.3310518169205704
cosh-calibration,0.42415442391611469,0.40362703514261777,1.379478078201509,0.33101425690275738
cosh-calibration,0.42773264407893002,0.40700155284074646,1.3598888643014642,0.33097609686025831
cosh-calibration,0.43134105055788791,0.41040377312356524,1.340578677536709,0.33093732781368834
cosh-calibration,0.43497989800855474,0.41383391074735071,1.3215435447213264,0.33089794067111439
cosh-calibration,0.43864944323480326,0.41729218182050937,1.3027795492331455,0.33085792622243854
cosh-calibration,0.44234994520693621,0.4207788038048389,1.2842828302081939,0.33081727514333775
cosh-calibration,0.44608166507996239,0.42429399551549002,1.2660495817464268,0.33077597799471153
cosh-calibration,0.44984486621202707,0.42783797712175825,1.2480760521289509,0.33073402521690443
cosh-calibration,0.45363981418299815,0.4314109701464135,1.2303585430467556,0.33069140713387141
cosh-calibration,0.45746677681320863,0.43501319746607614,1.2128934088395342,0.33064811395118698
cosh-calibration,0.46132602418235763,0.43864488331034318,1.1956770557463616,0.33060413575547576
cosh-calibration,0.4652178286485707,0.4423062532609835,1.1787059411660414,0.33055946251252932
cosh-calibration,0.46914246486762073,0.44599753425101052,1.1619765729290819,0.33051408406555693
cosh-calibration,0.47310020981231149,0.44971895456336225,1.1454855085790681,0.33046799014111627
cosh-calibration,0.47709134279202409,0.45347074382932007,1.1292293546645664,0.33042117034441315
cosh-calibration,0.48111614547242876,0.45725313302644416,1.1132047660412534,0.33037361415225813
cosh-calibration,0.48517490189536289,0.4610663544767864,1.0974084451844457,0.3303253109213381
cosh-calibration,0.48926789849887653,0.46491064184359804,1.0818371415101196,0.3302762498930239
cosh-calibration,0.4933954241374473,0.46878623012971959,1.0664876507063841,0.33022642017773357
cosh-calibration,0.49755777010236552,0.47269335567335924,1.0513568140751417,0.33017581076198299
cosh-calibration,0.50175523014229151,0.47663225614546761,1.0364415178817592,0.33012441051173036
cosh-calibration,0.50598810048398646,0.48060317054506407,1.0217386927150036,0.33007220816660604
cosh-calibration,0.51025667985321765,0.48460633919624962,1.0072453128555972,0.33001919234124805
cosh-calibration,0.51456126949584058,0.48864200374263916,0.9929583956541016,0.32996535152934953
cosh-calibration,0.51890217319905885,0.49271040714351311,0.97887500091697144,0.32991067409886426
cosh-calibration,0.52327969731286317,0.49681179366777234,0.96499223030242509,0.32985514828778367
cosh-calibration,0.52769415077165138,0.50094640888880237,0.95130722672420531,0.32979876221429361
cosh-calibration,0.5321458451160308,0.50511449967876454,0.93781717376365092,0.32974150387508311
cosh-calibration,0.5366350945148044,0.50931631420168821,0.92451929509049768,0.32968336113437319
cosh-calibration,0.54116221578714307,0.51355210190702971,0.91141085389245602,0.32962432173360595
cosh-calibration,0.54572752842494399,0.51782211352251006,0.89848915231159632,0.32956437329690957
cosh-calibration,0.55033135461537819,0.52212660104683628,0.88575153088965608,0.3295035033173952
cosh-calibration,0.55497401926362822,0.52646581774108525,0.87319536802146103,0.3294416991672649
cosh-calibration,0.55965585001581808,0.53084001812078019,0.86081807941514843,0.32937894809371088
cosh-calibration,0.5643771772821351,0.53524945794660561,0.84861711756137648,0.32931523722174916
cosh-calibration,0.56913833426014926,0.53969439421565002,0.8365899712086291,0.32925055356008937
